Comune;Provincia;Denominazione struttura;Categoria;Classificazione;Id struttura;Indirizzo;CAP;Sigla provincia;Frazione;Localita;Posta elettronica;Telefono;FAX;Indirizzo internet;Camere;Suite;Letti;Bagni;Prima colazione;In abitato;Sul lago;Vicino eliporto;Vicino aereoporto;Zona centrale;Vicino impianto risalita;Zona periferica;Zona stazione FS;Attrezzature;Carte di pagamento accettate;Lingue;Attrezzature sportive;Attrezzature congressi;Longitudine;Latitudine
ANGERA;VARESE;ALBERGO PAVONE;Alberghiere;Alberghi 3 stelle;197290732;VIA BORROMEO 10;21021;VA;;;hotelpavone@hotelpavone.it;0331.930224;0331.960080;www.hotelpavone.it;14;0;22;14;No;No;Si;No;No;No;No;No;No;Ascensore,Ristorante,Bar,Sala televisione separata,Accettazione animali domestici,Accesso a mezzi pubblici,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili parziale;American express,Visa,Master Card,Diners,Bancomat,Eurocard;Inglese,Francese,Tedesco;;;8.57443013;45.77244225
ANGERA;VARESE;B&B VILLA NAPOLEONE;Alloggi privati in affitto;Bed & Breakfast;356408843;VIA MILANO 21;21021;VA;;;;;;;1;0;4;1;No;No;No;No;Si;No;No;Si;Si;Access. diversamente abili totale,Accesso a vetture private,Accettazione animali domestici,Aria condizionata,Parco o giardino,Posto auto;;Inglese;;;8.59402339;45.7708119
ANGERA;VARESE;CAMPEGGIO CITTA' DI ANGERA;Complementari;Campeggi e aree attrezzate per camper e roulotte 4 stelle;133532643;VIA BRUSCHERA 99;21021;VA;;;info@vergasrl.com;0331.930736;0331.960367;www.campingcittadiangera.it;535;0;1610;356;No;No;Si;No;No;No;No;No;No;Ristorante,Bar,Sala televisione separata,Accettazione animali domestici,Parcheggio custodito,Lavaggio e stiratura biancheria,Spiaggia privata,Ormeggio,Access. diversamente abili totale,Rimessaggio caravan,Rifornimento benzina immediate vicinanze,Self service o Tavola calda,Spaccio alimentari,Parcheggio non custodito,Uso cellette frigorifere,Rifornimento gas liquido,Telefono per uso comune,Piazzole prevalentemente a prato,Area attrezzata gioco bimbi,Locale di ritrovo,Estintori,Pista da ballo,Bigliardo,Lavapiedi,Camper service;Visa,Master Card,Maestro,CartaSi;Inglese,Francese,Spagnolo,Tedesco,Olandese;Piscina scoperta,Campo attrezzato per pallavolo, beach volley, pallacanestro, calcetto,Campo da bocce,Campo da tennis,attività sportive varie,Tennis da tavolo;;8.58374224;45.76118972
ANGERA;VARESE;CASCINA ARMONIA;Alloggi privati in affitto;Bed & Breakfast;355169173;VIA MILANO 84;21021;VA;;;;;;www.cascinaarmonia.it;2;0;7;2;No;No;No;No;Si;No;No;Si;Si;Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Parco o giardino,Posto auto;;Inglese;;;8.59661718;45.76486716
ANGERA;VARESE;HOTEL DEI TIGLI;Alberghiere;Alberghi 3 stelle;197290730;VIA PALETTA 20;21021;VA;;;info@hoteldeitigli.com;0331.930836;0331.960333;www.hoteldeitigli.com;28;0;55;29;Si;No;Si;No;No;No;No;No;No;Ascensore,Bar,Sala lettura separata,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Estintori,WI-FI in aree comuni,Access. diversamente abili parziale,SKY,Fitness/centro salute;Tutte;Inglese,Francese,Spagnolo,Tedesco;;;8.57393191;45.77165964
ANGERA;VARESE;HOTEL PONTI&PONTI;Alberghiere;Alberghi 3 stelle;390724028;PIAZZA GARIBALDI 21;21021;VA;;;info@hotelpontieponti.it;0331.932016;0331.932016;www.hotelpontieponti.it;18;0;31;18;No;No;No;No;No;No;No;No;No;Ascensore,Sala lettura separata,Accettazione animali domestici,Servizio congressi,Accesso a mezzi pubblici,Accesso a vetture private,Lavaggio e stiratura biancheria,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Riscaldamento,Fitness/centro salute;American express,Visa,Master Card,Maestro,Eurocard,CartaSi;Inglese,Francese,Spagnolo;;Numero sale congressi 1,Congressi capacita' Min 2,Congressi capacita' Max 20;8.57524413;45.77193521
ANGERA;VARESE;HOTEL RISTORANTE LIDO;Alberghiere;Alberghi 3 stelle;197290731;VIALE LIBERTA' 11;21021;VA;;;lido@hotellido.it;0331.930232;0331.932044;www.hotellido.it;17;0;33;18;Si;No;Si;No;No;No;No;No;No;Ascensore,Ristorante,Ristorante vegetariano,Bar,Parco o giardino,Servizio congressi,Accesso a vetture private,Parcheggio custodito,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Access. diversamente abili totale,Estintori,Access. diversamente abili parziale;Diners,Tutte,CartaSi,AmexCo;Inglese,Francese,Tedesco;;;8.5646898;45.77820352
ANGERA;VARESE;LOCANDA LA CASETTA;Complementari;Locande;197290615;PIAZZA MATTEOTTI 8;21021;VA;;;info@locandalacasetta.it;0331.956951;0331.955028;www.locandalacasetta.it;5;0;10;5;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Lavaggio e stiratura biancheria,Parco o giardino,Somministrazione alimenti,Somministrazione bevande,Somministrazione alcolici;;Inglese,Francese,Spagnolo;;;8.62875321;45.78193932
ARCISATE;VARESE;AGRITURISMO CASCINA MARIANIN;Complementari;Alloggi Agrituristici;197290733;VIA CANTELLO;21051;VA;;CATTAFAME;;;;www.cascinamarianin.it;5;0;10;8;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Estintori,Telefono per uso comune;Tutte;Inglese;;;8.87092067;45.85489196
AZZATE;VARESE;BAR ALBINI;Complementari;Alloggi iscritti REC gestiti in forma imprenditoriale;302905530;VIA PIAVE 43;21022;VA;;;;;;;4;0;8;4;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a vetture private,Somministrazione alimenti,Somministrazione bevande,Somministrazione alcolici;;;;;8.79470179;45.77682713
AZZATE;VARESE;LOCANDA DEI MAI INTEES;Alberghiere;Alberghi 4 stelle;197290735;VIA MONTE GRAPPA 22;21022;VA;;;info@mai-intees.com;0332.457223;0332.459339;www.mai-intees.com;12;6;30;12;Si;No;Si;No;No;No;No;No;No;Ascensore,Ristorante,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accesso a vetture private,Parcheggio custodito,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Aria condizionata centralizzata,Estintori,Access. diversamente abili parziale;Tutte;Inglese,Francese,Spagnolo,Tedesco;;Numero sale congressi 1,Congressi capacita' Max 60;8.79413727;45.78130505
BARASSO;VARESE;RESIDENZA IF;Alloggi privati in affitto;Bed & Breakfast;382424791;VIA MATTEOTTI 58;21020;VA;;;;;;www.residenzaif.it;3;0;6;2;No;No;No;No;No;No;No;No;No;Accesso a vetture private,Autorimessa,Parco o giardino;Tutte;Inglese,Francese;;;8.7579474;45.83663048
BESNATE;VARESE;MIRANDOLINA;Alloggi privati in affitto;Bed & Breakfast;322468257;VIA PACINOTTI 4;21010;VA;;;;;;www.mirandolinabesnate.it;2;0;6;2;No;No;No;No;Si;No;No;Si;Si;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Parco o giardino,Posto auto;;Inglese;;;8.76637618;45.69626734
BESOZZO;VARESE;B&B IL PICCHIO MAGGIORE;Alloggi privati in affitto;Bed & Breakfast;382424426;VIA VOLTA 20;21023;VA;;;;;;;3;0;6;1;No;No;No;No;No;No;No;Si;Si;Accettazione animali domestici,Aria condizionata,Posto auto;;Inglese,Francese;;;8.66024273;45.84771342
BESOZZO;VARESE;B&B IL SASS;Alloggi privati in affitto;Bed & Breakfast;323844284;VIA MASSERANO 354/C;21023;VA;;;;;;;3;0;6;2;No;No;No;No;No;No;No;Si;Si;Accesso a vetture private,Accettazione animali domestici,Autorimessa,Parco o giardino,Posto auto;;Inglese,Francese,Spagnolo,Tedesco,Svedese;;;8.65099856;45.84330742
BESOZZO;VARESE;IL BEL GIARDINETTO;Alloggi privati in affitto;Bed & Breakfast;335429865;VIA QUAGLIA 8;21023;VA;;;;;;ilbelgiardinetto.net;2;0;6;2;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a vetture private,Parco o giardino,Posto auto;;Inglese,Francese,Tedesco;;;8.6562613;45.84294003
BESOZZO;VARESE;IL POZZO E LE ROSE;Alloggi privati in affitto;Bed & Breakfast;354377542;VIA BEATO NICONE 24;21023;VA;;;;;;www.ilpozzoelerose.it;2;0;3;2;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Parco o giardino,Posto auto;;Inglese,Francese;;;8.6664953;45.8457972
BESOZZO;VARESE;LA QUERCIA;Alloggi privati in affitto;Bed & Breakfast;302379974;VIA LAGO 49;21023;VA;;BESOZZO;;;;;3;0;6;2;No;No;No;No;Si;No;No;Si;Si;Access. diversamente abili parziale,Posto auto;;Inglese;;;8.64811339;45.84064567
BESOZZO;VARESE;OSTELLO DI BESOZZO;Complementari;Ostelli per la gioventù;353175595;VIA PINIROLI 17;21013;VA;;;jonny312rr@yahoo.it;388.4589002;;www.ostellodibesozzo.it;3;0;13;5;No;;;;;;;;;Access. diversamente abili totale,Access. diversamente abili parziale,Accesso a vetture private,Accettazione gruppi,Cucina di uso comune,Parco o giardino,Sala televisione separata;;Inglese,Spagnolo;;;8.6664953;45.8457972
BIANDRONNO;VARESE;B&B VILLA CHIARA;Alloggi privati in affitto;Bed & Breakfast;388753127;VIA RIMEMBRANZE 24;21024;VA;;BIANDRONNO;;;;www.bnbvillachiara.com;2;0;5;0;No;No;No;No;No;No;No;No;Si;Accettazione animali domestici,Aria condizionata,Parco o giardino,Sala televisione separata;CartaSi;Inglese,Francese,Spagnolo,Tedesco;;;8.70860067;45.8296563
BODIO LOMNAGO;VARESE;EQUIRELAIS SRL;Alberghiere;Alberghi 3 stelle;383044799;VIA SCEREE' 66;21020;VA;;;info@equirelais.it;0332.948556;;www.equirelais.it;7;0;14;14;Si;No;Si;No;No;No;No;No;No;Ascensore,Bar,Sala lettura separata,Parco o giardino,Accettazione animali domestici,Accesso a vetture private,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Servizio in camera,WI-FI in aree comuni,Televisione satellitare;Tutte;Inglese,Francese,Tedesco,Cinese;;;8.74680289;45.79811318
BODIO LOMNAGO;VARESE;VILLA BARONI;Alberghiere;Alberghi 3 stelle;302070689;VIA ACQUADRO 12;21020;VA;;;info@villabaroni.it;0332.947383;0332.969469;www.villabaroni.it;7;0;13;7;Si;Si;No;No;No;No;No;No;No;Ascensore,Ristorante,Ristorante vegetariano,Bar,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a vetture private,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,WI-FI in aree comuni,Access. diversamente abili parziale;American express,Visa,Master Card,Citibank,Bank Americard,Tutte,Maestro,Bancomat,Eurocard,JTB,JBC,JCB,AmexCo,Masterchange,BAC,Key Client,JCV,EDC,Carte Blanche,Top Card,MobilMat,Visa Electron;Inglese,Francese;;Numero sale congressi 3,Congressi capacita' Min 13,Congressi capacita' Max 50;8.75443395;45.79287802
BREBBIA;VARESE;B&B DEI LAGHI;Alloggi privati in affitto;Bed & Breakfast;308972002;VIA IV NOVEMBRE 12;21020;VA;;Ronch??;;;;"<p><a href=""https://deilaghi.wordpress.com"" target=""_blank""> https://deilaghi.wordpress.com";4;0;12;4;No;No;No;No;No;No;No;No;Si;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata,Parco o giardino,Posto auto;;Francese,Spagnolo;;;8.65901436;45.83828507
BREBBIA;VARESE;SPORT & BENESSERE;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;197290723;VIA GARIBALDI 21/G;21020;VA;;;;;;www.sport-benessere.it;14;0;28;14;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale;;;;;8.6525132;45.82391735
BRENTA;VARESE;B&B LA CORTE DI BRENTA;Alloggi privati in affitto;Bed & Breakfast;356843240;VIA VICOLO SUPERIORE 4;21030;VA;;;;;;;2;0;7;2;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accettazione animali domestici,Parco o giardino,Posto auto,Sala televisione separata;;Inglese,Spagnolo;;;8.68536739;45.8942865
BREZZO DI BEDERO;VARESE;AGRITURISMO LA BETULLA;Complementari;Alloggi Agrituristici;197290741;VIA BELMONTE 50;21010;VA;;BELMONTE;;;;www.agriturismobetulla.it;16;0;32;20;Si;No;No;No;No;No;No;No;No;Access. diversamente abili totale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Estintori,Sala lettura separata,Sala televisione separata,Telefono per uso comune;Visa,Master Card,Bancomat;Inglese,Francese,Tedesco;;;8.70879083;45.9714778
BRINZIO;VARESE;LOCANDA DEL BRINSC;Alberghiere;Alberghi 2 stelle;197290608;VIA MARCONI 5;21030;VA;;;picciocchicarla@gmail.com;0332 435257;;www.locandadelbrinsc.com;7;0;12;10;No;Si;No;No;No;No;No;No;No;Ristorante,Ristorante vegetariano,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Servizio in camera,Pompa rifornimento carburante,WI-FI in aree comuni,Access. diversamente abili parziale;Tutte;Inglese,Francese;Campo da calcetto,Sci da fondo;;8.78828808;45.88944127
BRISSAGO-VALTRAVAGLIA;VARESE;LA CASA DEL BORGO;Alloggi privati in affitto;Bed & Breakfast;382523397;VIA BASSO 10/D;21030;VA;;;;;;;2;0;4;2;No;No;No;No;No;No;No;Si;No;Parco o giardino,Posto auto;;Inglese,Francese,Spagnolo,Tedesco;;;8.74343913;45.94825679
BRISSAGO-VALTRAVAGLIA;VARESE;LA PINETA;Alloggi privati in affitto;Bed & Breakfast;324441731;VIA BASSO 10/B;21030;VA;;;;;;www.bedandbreakfastlapineta.it;2;0;4;1;No;No;No;No;No;No;No;Si;No;Access. diversamente abili totale,Accesso a vetture private,Accettazione animali domestici,Aria condizionata,Parco o giardino,Posto auto;;Inglese,Francese;;;8.74343913;45.94825679
BRISSAGO-VALTRAVAGLIA;VARESE;LE CAMELIE;Alloggi privati in affitto;Bed & Breakfast;197290621;VIA XXV APRILE 2;21030;VA;;;;;;www.bblecamelie.it;2;0;4;2;No;No;No;No;No;Si;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accettazione animali domestici,Parco o giardino;Visa,Master Card;Inglese,Francese;;;8.74696523;45.94786368
BRUNELLO;VARESE;ALLA CAMELIA;Alloggi privati in affitto;Bed & Breakfast;197290722;VIA SANTA MARIA 4/B;21022;VA;;;;;;www.allacamelia.it;2;0;3;2;No;No;No;No;No;No;No;Si;No;Accettazione animali domestici,Autorimessa,Parco o giardino,Posto auto,Sala televisione separata;;Inglese,Francese,Spagnolo;;;8.79227103;45.766605
BRUNELLO;VARESE;HOTEL VERBANO 2000;Alberghiere;Alberghi 3 stelle;197290742;VIA GALLARATE 2;21022;VA;;;info@hotelverbano2000.it;0332.870056;0332.870314;www.hotelverbano2000.it;79;0;126;80;Si;Si;No;No;No;No;No;No;No;Ascensore,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassette sicurezza,Aria condizionata non centralizzata,Access. diversamente abili totale,Estintori,WI-FI in aree comuni;American express,Visa,Diners,Bank Americard,Maestro,Bancomat;Inglese,Francese;;Numero sale congressi 1,Congressi capacita' Min 2,Congressi capacita' Max 25;8.81264355;45.76613314
BRUSIMPIANO;VARESE;CAROLINE;Alberghiere;Alberghi 4 stelle;197290743;VIA MOTTA 4;21050;VA;;;info@hotelcaroline.com;0332.934322;0332.933600;www.hotelcaroline.com;24;0;46;24;No;Si;Si;No;No;No;No;No;No;Ascensore,Ristorante,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili parziale;Tutte;Inglese,Francese,Spagnolo,Tedesco,Norvegese;;Numero sale congressi 1,Congressi capacita' Max 100;8.88965055;45.94506858
BRUSIMPIANO;VARESE;CAROLINE-DEPENDANCE;Alberghiere;Alberghi 3 stelle;197290607;VIA MOTTA, 4;21050;VA;;;info@hotelcaroline.com;0332.934322;0332.933600;www.hotelcaroline.com;4;0;8;4;No;No;Si;No;No;No;No;No;No;Ascensore,Ristorante,Ristorante vegetariano,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Discoteca,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili parziale;Tutte;Inglese,Francese,Spagnolo,Tedesco,Norvegese;;;8.88965055;45.94506858
BRUSIMPIANO;VARESE;TRATTORIA AL GROTTINO CON ALLOGGIO;Complementari;Alloggi iscritti REC gestiti in forma imprenditoriale;197290715;VIA FERRARI 25;21050;VA;ARDENA;;;;;www.algrottino.it;4;0;13;4;Si;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Autorimessa,Parcheggio privato,Parco o giardino,Sala televisione separata,Somministrazione alimenti,Somministrazione bevande,Somministrazione alcolici;;Inglese,Francese,Tedesco;;;8.8831598;45.94738593
BUSTO ARSIZIO;VARESE;ADUEPASSI;Alloggi privati in affitto;Bed & Breakfast;389313402;CORSO ITALIA 6;21052;VA;;San Giuseppe;;;;aduepassibustoarsizio.altervista.org;3;0;6;3;No;No;No;No;No;No;No;No;No;Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Aria condizionata,Bar,Posto auto;;Inglese;;;8.84910131;45.62264095
BUSTO ARSIZIO;VARESE;ALBERGO MAZZINI;Alberghiere;Alberghi 2 stelle;197290748;PIAZZA MANZONI 1;21052;VA;;;direzione@albergomazzini.it;0331.631715;0331.635163;;16;0;24;18;Si;Si;No;No;No;No;No;No;No;Ristorante,Bar,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Custodia valori in cassaforte,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili parziale;Tutte;Inglese,Francese,Tedesco;;;8.84617304;45.61072053
BUSTO ARSIZIO;VARESE;ANTICA CORTE - ROOM & BREAKFAST;Complementari;Foresterie lombarde;383770849;VICOLO CUSTODI 3A;21052;VA;;;info@anticacortebusto.it;333.2078195;;www.anticacortebusto.it;6;0;11;6;Si;No;No;No;No;No;No;No;No;Cucina di uso comune;;Inglese,Francese,Spagnolo,Tedesco;;;8.84973812;45.61216429
BUSTO ARSIZIO;VARESE;ANTICA TRATTORIA DELLA PESA;Complementari;Alloggi iscritti REC gestiti in forma imprenditoriale;197290633;PIAZZA COLOMBO 1;21052;VA;;;;;;;3;0;6;3;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Lavaggio e stiratura biancheria,Parco o giardino,Somministrazione bevande,Somministrazione alcolici;;;;;8.8497281;45.61416764
BUSTO ARSIZIO;VARESE;B&B GIET;Alloggi privati in affitto;Bed & Breakfast;197290750;VIA TAORMINA 26;21052;VA;;;;;;www.bebgiet.it;3;0;5;3;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accettazione animali domestici,Aria condizionata,Parco o giardino,Posto auto;Visa,Master Card,Bancomat;Inglese,Francese;;;8.83726087;45.60650824
BUSTO ARSIZIO;VARESE;B&B IL CORTILE DI LAURA;Alloggi privati in affitto;Bed & Breakfast;356980973;VIA VERONA 1;21052;VA;;;;;;;1;0;4;2;No;No;No;No;Si;No;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Aria condizionata;;;;;8.87231871;45.60740691
BUSTO ARSIZIO;VARESE;B&B LE ROSE;Alloggi privati in affitto;Bed & Breakfast;197290691;VIA FERRARA 12;21052;VA;;;;;;www.bblerose.com;2;0;5;2;No;No;No;No;Si;Si;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Posto auto;;Inglese,Francese;;;8.84158301;45.61628694
BUSTO ARSIZIO;VARESE;B&B SOUTHITALY;Alloggi privati in affitto;Bed & Breakfast;383001245;VIA FRATELLI DI DIO 29;21052;VA;BORSANO;;;;;www.southitalybeb.it;3;0;7;2;No;No;No;No;Si;No;No;Si;Si;Accettazione animali domestici,Aria condizionata,Autorimessa,Parco o giardino,Posto auto;Tutte;Inglese;;;8.84522679;45.58694785
BUSTO ARSIZIO;VARESE;CONDOMINIO;Alloggi privati in affitto;Bed & Breakfast;388096892;VIALE DELLA REPUBBLICA 75;21052;VA;;;;;;;2;0;3;2;No;No;No;No;Si;No;No;No;No;Parco o giardino;;Inglese,Francese,Spagnolo;;;8.82903466;45.6283485
BUSTO ARSIZIO;VARESE;HOTEL ESPANA;Alberghiere;Alberghi 3 stelle;197290747;VIALE BOCCACCIO 174;21052;VA;;;info@hotelespana.it;0331.341123;0331.351353;www.hotelespana.it;10;0;16;10;No;Si;No;No;No;No;No;No;No;Ristorante,Bar,Parco o giardino,Accesso a vetture private,Parcheggio custodito,Custodia valori in cassaforte,Aria condizionata centralizzata,Estintori,Access. diversamente abili parziale;Tutte;Inglese,Francese,Spagnolo;;;8.857893;45.5813341
BUSTO ARSIZIO;VARESE;HOTEL HORTENSIA;Alberghiere;Alberghi 3 stelle;197290749;VIA ADUA 15;21052;VA;SAN GIUSEPPE;VARESE;info@hotelhortensia.it;0331.626299;0331.625860;www.hotelhortensia.it;21;0;26;22;Si;Si;No;No;No;Si;No;No;Si;Ascensore,Bar,Sala lettura separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Estintori;Tutte;Inglese,Francese,Spagnolo,Tedesco;Fitness/centro salute;;8.84832117;45.61883907
BUSTO ARSIZIO;VARESE;HOTEL PINETA;Alberghiere;Alberghi 4 stelle;197290745;VIA SEMPIONE 150;21052;VA;;;info@hotelpineta.com;0331.381220;0331.365069;www.hotelpineta.com;55;0;110;55;Si;Si;No;No;Si;No;No;No;No;Ascensore,Ristorante,Bar,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Estintori;Visa,Master Card,Diners,Bancomat,Eurocard,CartaSi,AmexCo;Inglese,Francese,Tedesco;;Numero sale congressi 1,Congressi capacita' Min 2,Congressi capacita' Max 100;8.84213815;45.62825945
BUSTO ARSIZIO;VARESE;IL FIORDALISO;Complementari;Alloggi iscritti REC gestiti in forma imprenditoriale;197290688;VIA FIORDALISO 11;21052;VA;;;;;;www.ilfiordaliso.it;6;0;11;6;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale,Accettazione animali domestici,Cucina di uso comune;;Inglese;;;8.8656431;45.62314032
BUSTO ARSIZIO;VARESE;RESIDENCE MANVILLA;Alberghiere;Residenze turistico alberghiere 2 stelle;197290746;VIA MILAZZO 5;21052;VA;;;soledorosz@hotmail.it;0331.620842;;;11;0;21;11;No;No;No;No;No;Si;No;No;No;Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Bar,Estintori,Lavaggio e stiratura biancheria,Parcheggio custodito,Parcheggio non custodito,Parco o giardino,Ristorante;;;;;8.85528286;45.60509922
BUSTO ARSIZIO;VARESE;THE GARDEN HOUSE;Alloggi privati in affitto;Bed & Breakfast;355907762;VIA CASSANO MAGNAGO 114/2;21052;VA;;;;;;;1;0;3;1;No;No;No;No;Si;No;No;No;No;Access. diversamente abili parziale,Accesso a vetture private,Parco o giardino;;Inglese,Francese;;;8.84561059;45.63957699
